ID	island	species	sex	age_years	carapace_length_cm	altitude_m	precipitation_mm	food_availability_index	body_mass_kg	shell_thickness_cm	parasite_load_index	immune_response_level	carapace_shape	ambient_temperature_c	activity_level	relative_humidity_percent
138	Santa_Cruz	Chelonoidis_donfaustoi	Male	99.8	96.2	331.9	593.3	49.7	195.7	4.16	49.1	45.4	Intermediate	16.5	Medium	66.5
139	Espanola	Chelonoidis_hoodensis	Female	88.5	88.2	0	584.4	197.5	300	6.57	48.6	110.8	Saddleback	22.8	Low	70.3
140	Isabela	Chelonoidis_vicina	Male	86.3	99.8	470.1	866.4	97.9	121.4	6.17	48.4	87.5	Saddleback	33.2	High	73.3
141	Isabela	Chelonoidis_microphyes	Female	85.6	103.8	560.5	774.9	0.8	148.4	4.28	45.7	59.5	Dome	26.7	Medium	77.3
142	Isabela	Chelonoidis_microphyes	Female	95.7	101.2	387.4	683.4	59.3	178.8	4.07	57.4	84.8	Dome	26.7	Medium	80.5
143	Isabela	Chelonoidis_becki	Female	127.4	109.5	411	696.1	52.3	187.5	5.19	43.9	60.7	Dome	29.5	Medium	62.7
144	Isabela	Chelonoidis_becki	Male	121	121	565.1	721.5	0	137.1	3.59	58.6	34.2	Intermediate	18.2	Medium	69.9
145	Espanola	Chelonoidis_hoodensis	Male	92.8	104.5	9.3	521.5	184.6	284.5	6.85	41.9	111	Saddleback	25.2	High	77.9
146	Isabela	Chelonoidis_becki	Female	66.3	91.5	562.2	781.1	11.3	144.6	5.39	44.5	37.6	Dome	27.4	Medium	64.1
147	Isabela	Chelonoidis_microphyes	Female	83.1	102.5	491.6	724.3	41.8	173.1	5.88	53	71.5	Dome	30.7	Medium	74.6
148	Isabela	Chelonoidis_microphyes	Female	90.8	103.7	521.4	879.2	76	152.5	5.21	49.3	61	Dome	21	Low	87.4
149	Isabela	Chelonoidis_microphyes	Male	102.1	109.5	540.7	934.5	91	157.6	5.01	40.8	84.7	Saddleback	26.2	High	56.6
150	Santa_Cruz	Chelonoidis_donfaustoi	Male	86.7	97.1	267.4	530.5	64.5	215.8	6.07	55.9	61.4	Intermediate	28.3	High	77.2
151	Espanola	Chelonoidis_hoodensis	Male	140.1	101.9	34.8	355.5	111.8	312.3	5.69	36.5	64.8	Saddleback	43.6	High	69.3
152	Isabela	Chelonoidis_becki	Female	94.6	105.9	479.2	834.5	88.8	157.2	5.45	45.9	79.7	Dome	32.9	Medium	60
153	Isabela	Chelonoidis_microphyes	Male	75.7	107.3	640.8	799.5	0	108.8	4.86	42.6	41	Saddleback	13.1	Medium	72.6
154	Isabela	Chelonoidis_becki	Female	97.2	113.2	506.3	840.6	66.8	180.2	5.39	46.6	79.3	Dome	25.1	Medium	69.5
155	Isabela	Chelonoidis_microphyes	Female	79.9	101.6	523.6	971.4	127.7	174.1	5.64	49.5	62.4	Intermediate	26	Medium	59.8
156	Isabela	Chelonoidis_microphyes	Male	103.1	120	483	794	52.1	182.2	5	48.3	63.5	Saddleback	29.1	High	70.2
157	Santa_Cruz	Chelonoidis_porteri	Female	104.7	107.9	287.9	571.9	79	225.1	4.49	47.9	62.6	Intermediate	21.5	Low	75.8
158	Isabela	Chelonoidis_becki	Male	107.1	114.4	568.9	848.5	30.2	171.1	4.3	50.2	68.6	Saddleback	30	High	68
159	Isabela	Chelonoidis_becki	Male	67.6	107.6	483.1	795.1	74.9	149.2	6.09	49.7	63.7	Intermediate	21.5	Medium	88
160	Isabela	Chelonoidis_becki	Female	104.4	110.5	501	862.8	69.2	180.9	4.52	46.5	80.2	Dome	24.5	Low	85.6
161	Santa_Cruz	Chelonoidis_donfaustoi	Male	106.2	118.5	318.8	577.6	44.8	250.7	5.04	39.6	62.3	Saddleback	28	High	62.5
162	Isabela	Chelonoidis_becki	Male	71.6	110.1	478.4	844.4	90.2	172.4	6.01	43.9	79.8	Saddleback	22	Medium	83.8
163	Santa_Cruz	Chelonoidis_donfaustoi	Male	119.1	117.6	398	443.6	0	201.4	4.63	41	67.5	Saddleback	25.4	High	82.6
164	Isabela	Chelonoidis_becki	Female	115.7	105.2	428.6	801.4	93.1	187.1	5.99	51.7	68.6	Dome	32.9	Medium	63.5
165	Isabela	Chelonoidis_vicina	Male	146	132.2	600.6	748.4	0	154.7	3.09	62.2	60.4	Saddleback	22.7	Medium	85.7
166	Santa_Cruz	Chelonoidis_porteri	Male	103.1	113.2	282.4	480.9	34.9	208.2	4.77	44.6	71.4	Saddleback	19.2	Medium	86.7
167	Santa_Cruz	Chelonoidis_porteri	Male	100.9	113.2	367.9	558.7	41.4	218.1	5.47	44.9	76.2	Saddleback	28.6	High	76.3
168	Isabela	Chelonoidis_vicina	Male	101.9	117.5	400	837.2	101.8	158.3	5.37	45.1	58.9	Saddleback	21.1	Medium	78.9
169	Isabela	Chelonoidis_microphyes	Female	101.4	104.2	547.8	809.2	21.2	183.1	4.15	55.2	50.4	Intermediate	23.7	Low	59.9
170	Isabela	Chelonoidis_microphyes	Female	63	93.3	543.8	869.3	44.3	133.6	4.98	50.2	46.9	Dome	27.5	Medium	88.6
171	Santa_Cruz	Chelonoidis_donfaustoi	Female	66.6	93.2	236.4	694.1	150.3	230.1	7.16	49.2	101.4	Dome	27.3	Medium	64.1
172	Isabela	Chelonoidis_microphyes	Female	98.4	105.2	461.6	882.8	101.2	173.7	6.64	51.4	90.2	Dome	30.9	Medium	66.4
173	Espanola	Chelonoidis_hoodensis	Male	88.4	92.2	59.7	367.6	97.2	259.6	4.97	51.3	70.7	Saddleback	21.6	Medium	75.1
174	Santa_Cruz	Chelonoidis_porteri	Female	101.1	98.7	357.2	467.2	7.4	190.8	4.4	53.1	43.9	Dome	23.4	Low	71
175	Santa_Cruz	Chelonoidis_donfaustoi	Male	57.8	90.5	261.7	572	73.4	230.5	5.09	44.1	57.1	Saddleback	21.7	Medium	86.8
176	Santa_Cruz	Chelonoidis_porteri	Female	70	86	288.8	717	143.9	209.6	6.37	47.7	100.6	Dome	24.2	Low	62.7
177	Isabela	Chelonoidis_becki	Female	78	97.5	578.6	787.9	0	174.2	4.58	47.6	64.2	Dome	34.9	Medium	64.6
178	Santa_Cruz	Chelonoidis_porteri	Female	119.7	96.7	243.6	436.3	47.2	189.7	4.36	44.4	48.3	Dome	24.7	Low	72.6
179	Espanola	Chelonoidis_hoodensis	Female	78	74.8	97.4	449.1	115.5	264.5	7.33	40.7	69.5	Intermediate	24.9	Low	75.6
180	Santa_Cruz	Chelonoidis_donfaustoi	Male	84	110.5	322.4	628.2	67.5	239.4	4.59	55.3	77.4	Saddleback	27.6	High	99.3
181	Espanola	Chelonoidis_hoodensis	Male	101.6	97.4	0	359.9	123.5	285.7	5.71	42.4	102.7	Saddleback	18.9	Medium	57
182	Isabela	Chelonoidis_becki	Male	93.5	103.6	466.6	817.3	88.3	164.4	6.22	46.2	80.5	Saddleback	29.8	High	81.2
183	Santa_Cruz	Chelonoidis_porteri	Female	102.9	100.1	339.2	736.9	123.5	240.7	5.16	54.7	85.5	Dome	24.7	Low	78.9
184	Isabela	Chelonoidis_vicina	Male	146.1	135.2	512.4	929.9	80.3	121.4	3.76	53.5	64.5	Saddleback	21.5	Medium	81
