ID	physiological_condition	immune_cell_type	Gene_A_expression	Gene_B_expression	Gene_C_expression	Gene_D_expression	Gene_E_expression	Gene_F_expression	regeneration_capacity	age_years	immune_receptor_diversity	response_to_infection	inflammation_level	weight_kg	habitat_location	resilience_score	reproduction_rate
0032	Healthy	Macrophages	69.2797069050982	47.4250647674812	112.443138544097	76.7981709794631	89.4513664745714	80.7853030466941	118.4	36	85.6	49.7	17.5	453.4	Pacific	121	21.7
0033	Healthy	B_cells	59.1612178618797	75.6823012297135	103.805119065374	68.0216020906006	91.2004967285017	85.5714283057385	117	34	81.8	89.4	21.7	567.5	Southern	145.4	21.9
0034	Stressed	Macrophages	75.5046357176144	104.291483441844	73.7965483761104	91.1628401421454	105.678494376245	111.772931723408	99.2	40	62.2	85.3	24.5	519.7	Arctic	146.2	11.6
0035	Recovering	NK_cells	101.159411672885	102.668694750637	112.136306661283	109.610267781944	116.750179870591	106.873395340908	100.7	11	80.6	86.3	80.4	510.7	Arctic	146.5	16
0036	Healthy	B_cells	72.7412041873156	71.9130282669446	92.85262390017	70.0673340087513	77.2025850029217	74.0062175247534	120.9	17	94.8	75.9	20.9	477.8	Pacific	127.5	20.3
0037	Infected	B_cells	173.424931137718	166.495503184708	166.555763752077	159.380741383952	167.59234614123	190.614250828289	138	13	80.2	86.7	23	446.9	Atlantic	109.4	13.1
0038	Infected	NK_cells	142.653204259857	165.427700358924	175.773396447414	174.581140775666	190.602873600957	179.471254183292	129.9	14	83.4	97.8	115.3	483.5	Southern	131.1	11
0039	Infected	Dendritic_cells	163.841896519115	184.616236260793	178.852618974267	183.442876227268	180.950693540277	194.280925719796	135.3	29	74	114.4	22.4	438.1	Southern	131.5	11.9
0040	Stressed	B_cells	88.5845873621564	101.809299083916	92.6770679447078	96.9191127557089	121.280194103555	88.0693777650289	108.9	26	67.7	61.9	24.5	646.6	Arctic	174.1	11.1
0041	Recovering	T_cells	104.35337930656	105.894998444006	100.103007285161	79.2684281045054	122.943318705261	109.744427298325	107.9	9	80.3	76.1	17.5	538.8	Arctic	150.3	16.9
0042	Injured	Macrophages	115.045661226145	105.852862157542	107.420356919187	99.7889142353058	155.124947884257	148.965680612228	116	49	66.4	90.9	23.1	511.7	Southern	134.9	12
0043	Injured	T_cells	110.577782846623	105.083860585239	117.273460745404	108.458914544286	146.038532399088	170.983252507224	111.9	25	75	84.1	22.9	408.9	Atlantic	107.6	10.9
0044	Recovering	T_cells	105.644259992004	102.669263588407	96.3498562301041	100.801352332222	147.523020144969	115.445123599059	113	5	76.5	68.8	26.9	627.4	Southern	148.7	16.6
0045	Recovering	NK_cells	101.763845862144	94.1939017027278	107.985473199979	104.308939323453	122.481876669635	115.305571911152	111.3	29	70.2	83.3	81.3	465.7	Atlantic	113.8	16.5
0046	Infected	Monocytes	151.821825578362	154.791360206194	157.711179391369	161.224693264087	172.040720967067	181.941231809809	141.6	42	67.1	92.9	21.7	518.6	Indian	118.4	12.8
0047	Stressed	T_cells	85.3211407718732	104.427270383	101.905529315858	100.799225730479	106.358185212779	112.292189723869	106.9	32	61.6	72.7	22.3	567.3	Southern	145.4	9.3
0048	Infected	Monocytes	131.473667830481	158.74287739842	153.313047563632	168.595459639567	178.030042817796	172.809630448588	121.8	51	55.7	92.5	25.2	550.6	Arctic	156.8	8.9
0049	Injured	Dendritic_cells	121.236810705101	122.762877421677	145.160676136922	132.011775892656	169.6723772502	155.776685554452	124.9	26	76.2	74.1	30	464.6	Arctic	145.5	11.7
0050	Recovering	NK_cells	96.2921842072036	107.783478205901	118.757748515966	97.2852089399994	138.393751527283	97.6863850029768	116.7	32	67.5	73.4	71.9	558.8	Southern	147.1	16.6
0051	Healthy	B_cells	58.7286618893683	61.6421848188332	95.9759660423184	53.0851144839333	88.9422579639225	66.565934195642	113.3	38	79.5	88	25.1	513	Pacific	118	22.4
0052	Injured	T_cells	105.393145498664	118.594701229736	129.083174228405	103.538671575226	159.644412569187	159.33698479367	114.8	28	70.8	76	26.4	599.2	Atlantic	122.8	13.1
0053	Healthy	B_cells	71.370741196259	57.582454838803	102.548347119735	78.0968178897537	89.2674913897983	88.5037271900557	123	44	83.6	75	22.6	606.3	Arctic	165.2	22
0054	Infected	Macrophages	146.418836899223	157.375455593722	166.01693964225	166.033431120167	159.206632895733	181.812842559531	129.8	46	57.4	82.7	28.3	498.4	Arctic	146	12.9
0055	Injured	B_cells	113.889613702754	107.704564846671	105.667992995676	97.8916014038815	158.119007050419	148.360896452729	113.6	49	59.1	78.9	24.6	425.4	Atlantic	119.1	8.9
0056	Stressed	Dendritic_cells	101.594334693395	115.402591539745	113.850552678696	95.5844653595394	135.854295206777	101.680933192164	105.3	47	59.6	71.4	27.8	436	Indian	119.1	10.7
0057	Infected	B_cells	149.753661735729	153.15405331409	170.523879885415	166.651236512905	176.229566992042	177.075330326314	137.6	19	83.4	109.1	22.1	476.7	Pacific	115.6	10.8
0058	Infected	T_cells	143.406083693585	167.548139340848	150.021937352884	158.464483077544	164.727505040917	184.102845534018	131.3	5	85.3	89.2	25.8	409	Indian	107.9	14.1
0059	Healthy	T_cells	74.4372730719107	74.4310799732322	120.424385356881	70.1682870728069	99.2090461986232	75.6176971765853	119.7	5	98.6	69.2	22	359	Indian	108.1	21
0060	Healthy	B_cells	73.1441684020719	64.6947133060538	108.543346051968	67.3171087592257	95.4158572580247	80.140137596042	122.6	44	79.2	74.6	23.3	444.7	Arctic	140.9	22
0061	Healthy	Dendritic_cells	79.9496600852888	86.751960447284	116.224125056349	95.6560118934222	102.888347483633	91.1201137169243	118.1	35	86.7	88.1	12.8	413.2	Indian	110	23.7
0062	Injured	NK_cells	105.313935787026	111.652973935151	117.843503128285	106.965185065669	176.564832281862	153.005614108684	122.7	42	62.4	87.3	75.2	503.7	Arctic	142.4	10
0063	Healthy	T_cells	73.0064241597713	60.2849506959655	106.43145173484	83.700612488704	106.400048051178	88.1693570440543	119.9	26	92.8	78.6	30.3	417.7	Atlantic	124	23.3
0064	Healthy	NK_cells	92.3452258325194	83.9679430676634	101.285970817188	89.0871339726173	106.051476002261	99.7347813404494	131.6	40	85.6	73.2	63	419.2	Indian	110.6	23.5
0065	Healthy	Monocytes	73.2068338042678	50.166866448721	67.0481675693922	67.6070996067517	85.7233037567972	80.8691793220991	105.6	48	81.7	61.3	19.9	393	Atlantic	106	20.2
0066	Healthy	NK_cells	70.1068251399202	87.7045724160581	100.487859714138	90.1375326457415	98.9961374618041	85.5369419026784	121	55	77.9	70.7	74.5	565.5	Arctic	151.6	23.5
0067	Injured	T_cells	105.183345924797	119.560447141843	129.046221043064	103.882975811827	164.103695560113	156.571446782124	118.7	19	73.9	85.9	15.1	547.4	Atlantic	127.6	10
0068	Injured	B_cells	89.4783644227892	122.268629386512	105.770908077455	113.902589465123	154.864387751344	138.092842628267	119	48	68.5	76.7	19.7	423.8	Atlantic	111.8	8.6
0069	Infected	NK_cells	166.542726466279	175.190318877223	175.191899227673	180.620630341179	177.190049491542	199.489768991376	136.9	25	73.8	70.4	112.4	454.1	Arctic	140.3	12.9
0070	Recovering	NK_cells	104.581678752605	114.193052453408	111.543662064878	103.15128783279	126.272643983129	93.2286872029095	111.8	53	55.3	76.1	78.4	578.6	Pacific	133.2	16.4
0071	Healthy	T_cells	65.3648445350227	61.2437602001787	98.4747921128179	66.2498896728385	103.116203526336	83.7372854430622	118.3	26	83.8	52.5	21.5	415.5	Indian	116.5	23.5
0072	Stressed	NK_cells	90.8038819648338	94.6993530800169	89.9521458722585	117.619692717254	139.576008680764	106.158903879879	109.5	55	57.2	65.4	82.2	509.6	Southern	141.7	10.4
0073	Stressed	T_cells	73.4066635457025	102.389500906997	100.602137337346	109.521340403237	106.738137667174	102.014730615319	103.7	44	61.4	88.9	25.2	543.1	Indian	129.8	12.6
0074	Injured	B_cells	117.070310042359	105.720345880472	111.855419112732	97.9362180794402	151.117345728044	160.194239937961	129.8	19	80.6	75.1	30.6	550.8	Pacific	125.2	12.7
0075	Healthy	Monocytes	61.8502629280385	65.1279368750022	99.1155968511196	55.6810338474181	95.1687628281638	59.6756167045903	120	58	72.3	64.5	32.4	456.6	Arctic	133.2	22.9
0076	Injured	T_cells	108.812344634946	122.065685547144	120.278519411841	101.117354332088	157.530627202629	156.659805247779	120	8	82.3	80.2	23.4	403.2	Indian	105.5	13.7
0077	Recovering	B_cells	78.4169453659625	98.4389101185053	94.2300509636167	110.636746609112	123.390048488602	91.7454232727738	110.9	41	66	71.6	29	470.6	Indian	127.3	16.3
0078	Healthy	T_cells	66.7827840186398	66.6111651508674	102.846064949814	77.31123413466	94.0220198335196	82.670371127892	121	46	79.9	64.7	28.2	460.7	Indian	117.1	23.8
0079	Infected	Macrophages	142.067185012484	166.862497545639	175.964061145155	181.289966235524	174.601483258969	177.706037002596	131.1	39	63.3	87.3	25.9	464.5	Southern	137.4	13
0080	Healthy	NK_cells	90.9535906691007	69.3322291604016	96.7069243964763	75.3279985709643	102.348317382597	95.4254508779939	124.5	22	91.7	77.9	56.5	522.4	Pacific	113.5	23
0081	Healthy	B_cells	63.9424480330658	64.5434214823307	97.8658243487467	68.4911624389788	89.1400420396188	83.8095774384279	115.7	6	101.7	83.1	24	607.6	Southern	143	20.9
0082	Injured	Macrophages	109.927644099818	109.041593997025	122.106886044205	113.157992995749	166.914854728915	155.93314517886	116.9	38	63.6	65	21.3	441.2	Arctic	128.4	11.8
0083	Healthy	Dendritic_cells	83.8927466693692	78.2833474480423	116.178741486142	85.3087378313001	112.920499116682	94.4589836772203	126.1	47	73.1	77.5	18.8	446.6	Arctic	134.5	23.3
0084	Infected	T_cells	149.501145725662	172.597381975025	163.223093338994	168.681993137939	175.884776477595	195.977653598695	133.4	45	57.7	81.7	23.8	425.9	Arctic	130.3	11.9
0085	Infected	T_cells	145.799207327854	164.89364140979	173.220750596835	165.124864992953	181.007659817364	175.640072545477	129.1	55	54.9	82.8	23.6	420.8	Atlantic	113.2	11.8
0086	Stressed	Macrophages	82.4437541017869	95.9872286900571	82.6478731285899	108.569416141491	107.601886818918	96.3974065285711	97.8	36	60.1	63.1	30.3	478	Southern	136.7	8.9
0087	Infected	T_cells	150.794762319732	174.777854936856	174.344058557768	165.040158061379	165.577844696188	183.786827539378	132.2	32	71.3	98	21.3	502.4	Southern	134.5	10.7
0088	Infected	Monocytes	139.163189244813	142.480193917755	157.971843969703	145.038549695032	171.946283196269	173.07729081267	135.7	26	76.6	58.8	16	538.8	Indian	132.8	11.5
0089	Injured	B_cells	114.289133944963	118.741332436218	119.144095524363	119.001760854773	145.529982855652	149.308657258358	113.6	51	54.9	83.6	25.2	465.8	Arctic	144.7	11.7
0090	Stressed	Macrophages	80.8291547776612	95.0026939069712	91.2600705896283	93.9434746444328	105.448618942162	99.929406482242	97.1	39	54.9	68.5	13.3	595.8	Atlantic	133.3	12.2
0091	Healthy	Dendritic_cells	81.2362176418611	70.2349817316608	109.190971157929	90.7804682754153	107.592559836059	94.5378750187699	122.4	35	86.2	84.4	22.4	528.8	Indian	130	22.4
0092	Injured	B_cells	94.0650332225495	119.541579779471	105.509169320969	101.089957023295	146.304324560212	149.555810784033	114.1	20	81	72.1	28.6	404.7	Atlantic	101.4	11.2
0093	Injured	Macrophages	119.568360005938	105.757234402359	116.524802543583	101.034440353259	140.747588589925	149.890208958342	122	14	81	87.6	24.8	448.6	Indian	114.9	12.3
0094	Stressed	NK_cells	92.1192335981833	98.8575514367252	89.9898256743536	103.809128932567	130.578706486855	108.792833236871	96.6	51	60.9	71.8	79.5	535.1	Atlantic	126.7	12.1
0095	Injured	T_cells	115.749478586595	120.669235617234	104.4608913465	104.727241482859	156.404017949664	134.513912571644	124.5	60	54.3	84.3	18.7	506.8	Indian	137.8	10.4
0096	Healthy	Monocytes	53.2526253466982	57.139211853691	91.536365599021	63.1000151154423	78.7375587422038	57.1397379568136	115.5	33	89	74.8	24.4	553.3	Indian	133.5	21.2
0097	Recovering	T_cells	85.6423213526733	118.072904324192	110.271182569173	112.643513993494	121.749677814156	99.6122716384826	99.8	35	68.3	92.7	24.1	534.1	Arctic	159.7	15.6
0098	Healthy	NK_cells	73.0565584942754	83.62821321393	98.1691256866916	78.6660150276934	116.648100674995	78.9295814076982	130.5	26	83.6	70.2	62.3	465.4	Indian	118.9	23.5
0099	Infected	B_cells	155.092127028665	178.839249846808	160.366315857392	158.012864839485	168.116096902002	170.818990111159	142.2	38	59.5	93.1	14.2	443.6	Arctic	131.5	11.8
0100	Healthy	NK_cells	75.6952802240077	71.1100523675577	101.569927090176	70.6577430048636	105.503380161893	72.780988247576	121.2	6	100.8	58.6	62.9	438.3	Indian	114.1	23.5
0101	Healthy	Macrophages	73.3518207037821	56.7650621692589	107.393970342519	69.7102700876752	100.242579814874	69.2352011339213	116.8	21	95.3	60.4	22.2	364.9	Indian	112	21.1
0102	Recovering	B_cells	86.0033566742023	94.6406921728203	100.314574046078	87.478561898548	118.646127203065	102.043838455337	101	48	57.8	76.6	28.3	492	Atlantic	113.7	15
0103	Stressed	Macrophages	94.087645452167	90.4704088082911	83.7084445596526	98.8173346735037	118.037760242956	105.817856419349	97.1	21	65.7	59.7	26.4	489.2	Arctic	149.5	9.4
0104	Stressed	NK_cells	98.9433880511411	105.598069077672	103.460898493465	113.46835639806	126.389091366772	97.9480498919445	99.4	19	66	66	80.8	472.3	Southern	123.3	11.2
0105	Healthy	B_cells	64.1623806627704	79.8007780012491	98.6387632574299	75.2592019242696	89.0874289702962	65.4765307609869	121	51	78.1	42.9	25.4	515.1	Atlantic	118.7	21.6
0106	Injured	B_cells	101.156646859129	106.483037494756	116.873447390577	94.0143480125137	151.282443111138	162.400725487911	112.6	49	54.2	80	20.4	468.5	Pacific	130.7	11
0107	Injured	B_cells	94.0026458699857	103.016422049619	116.332825422401	105.730186828358	149.769444325147	162.295398336674	115.9	9	82.2	81.9	26.8	599.2	Indian	135	10.4
0108	Recovering	Monocytes	89.2869965549433	92.4241534674556	106.698485562062	80.8835342176042	100.561370611722	78.5210862739354	100.6	20	75.8	63.5	25.4	640.6	Atlantic	131.3	16
0109	Infected	Dendritic_cells	159.803805530296	172.853708410542	162.780547724943	175.046176273393	197.353717376975	183.942006169718	143.7	20	83	95.8	26.3	425.8	Pacific	119.4	12.7
0110	Infected	T_cells	158.641660684675	184.362857978585	169.958332393921	156.853403788287	191.597402985352	182.759137162509	134.2	15	82.1	89.1	18.4	448.8	Arctic	137.1	12.7
0111	Healthy	NK_cells	70.1432234194094	71.1679823914134	95.370899868	57.6575553035668	99.3626624631115	96.8353851301454	128	8	95.6	104	55.7	441.6	Indian	119.3	24.6
0112	Healthy	T_cells	72.6530835620186	72.7903263006359	97.773544705702	83.3174551768496	85.4583602580716	92.5850727232898	115	39	81.9	51.8	27.3	465.6	Southern	132.8	22.6
0113	Recovering	Macrophages	109.868499497518	103.711363992994	105.127099714378	98.3775293723894	134.322458955141	106.557382688879	116.7	32	64.5	71.8	28.1	601.5	Southern	145.3	18.8
0114	Healthy	NK_cells	65.832024274654	75.0483873523129	104.131941822377	68.1557783241322	106.50631864072	62.4979227829678	120.8	49	74.1	50.6	51.1	455.7	Arctic	140.7	22.2
0115	Healthy	B_cells	74.6434966743881	75.313908939788	99.4069320224069	69.8592372051054	85.7603619470165	62.2638733518696	120	25	92.4	89.6	25.2	421.2	Southern	115.8	22.4
0116	Infected	NK_cells	162.356466506205	184.535244790987	179.166969499234	167.17296508213	190.499830594835	195.751598009681	140.8	52	57.8	90.9	109.7	484.1	Arctic	143.4	12
0117	Infected	NK_cells	150.699463123317	174.609606946567	173.324373047708	151.590987734996	194.731801365277	187.964274248962	130.3	8	91.1	99.1	101.2	422.6	Atlantic	116.5	12.4
0118	Stressed	Dendritic_cells	88.0724894210597	110.81230471726	94.0965365978993	121.801602556865	118.436822222549	115.541790372301	110.6	20	75.2	63.4	22.2	386.3	Arctic	125.1	10
0119	Infected	T_cells	163.052507836805	170.103783751196	175.060876871045	167.021029693389	163.944151410988	163.036764029536	123.2	26	77.5	96.3	22	519.5	Southern	139.7	11.4
0120	Healthy	T_cells	82.2514743274472	56.6895140856763	116.28796845156	76.4700854317535	112.323806722045	70.1006959177061	133.5	9	100.4	81	23.6	567.6	Southern	147.6	23.5
0121	Infected	Macrophages	150.268711982009	165.988649400858	169.200340432379	169.954115682694	181.308545749094	176.358274025186	130.6	5	93.7	89.6	18.8	551.5	Southern	152.1	11.1
0122	Healthy	Dendritic_cells	86.0621772045137	85.0853288829432	119.364400381915	83.0401315025161	104.606119260517	89.7004641575313	124.5	51	82.8	77.9	22.8	399	Arctic	127	24.9
0123	Infected	B_cells	129.223292661639	166.166369974101	165.204511219552	168.769943254779	183.087508886269	160.569421978948	125.4	34	70.4	84.9	23.3	567.6	Southern	150.8	11.3
0124	Infected	Dendritic_cells	148.551229094103	188.693952830885	181.803395050825	189.128249219327	180.783642556517	201.063620906476	130.5	35	69.2	92.1	25.3	543	Pacific	122.1	12.6
0125	Infected	T_cells	151.065047675087	165.308232846884	177.381350870992	174.780987790647	186.125543015303	176.030295729505	137.1	59	48.7	78.4	19.3	485.3	Pacific	115.1	12.9
0126	Recovering	T_cells	83.3398905830947	109.637467311372	99.5825173064389	116.763614059144	125.741225394235	100.997243510107	117.3	22	74.2	56.3	27	532.8	Atlantic	118.8	17.7
0127	Injured	T_cells	102.499358073214	119.229589704943	114.991842389084	112.205428713675	168.721911033843	136.491036803096	122.3	29	69.8	75.7	27.9	415.6	Arctic	133.1	11.4
0128	Recovering	Monocytes	87.6564313879792	104.277400054927	99.6388024863285	97.8017763855812	104.555750077054	93.8498189878592	114.2	7	78.8	96.4	20.2	460.6	Atlantic	118.2	17.2
0129	Healthy	T_cells	71.518949335029	71.9440187761251	110.524180634683	73.0393404398386	98.0765577083319	73.9491468094223	120.2	14	96.6	57.7	31.5	577.9	Pacific	132.1	22.6
0130	Healthy	T_cells	78.6815734780232	71.2081511137306	107.662525961313	71.5057382892598	96.0099166475858	82.2572973022422	123.4	7	101.7	81.8	23.4	551.8	Southern	144.9	21.9
0131	Injured	NK_cells	120.785221217907	131.590798689794	111.386790027473	124.968448958602	163.38424928273	147.876574374637	123.9	58	54.3	51.8	82.1	487.8	Indian	124.6	11.1
0132	Infected	NK_cells	155.061015712927	176.044525920592	161.139212617483	162.750310453809	194.22780629866	184.445694838722	136.4	9	86.7	96.8	101.4	567.4	Southern	145.4	11.3
0133	Infected	Monocytes	139.247455086577	150.686236621128	162.092812155589	161.286597482815	169.050983494118	166.834955997844	135.8	31	68.4	89.4	21.9	448.3	Pacific	120.2	12.5
0134	Recovering	NK_cells	101.648095984916	100.015587420249	127.7591081396	95.9080136711542	114.346843192332	99.7984409954134	113.2	22	68.7	62.4	73.7	571.2	Pacific	129.5	17.3
0135	Infected	T_cells	136.282700743759	172.037439372453	171.5872697642	171.077894410087	179.949967964705	180.301268925707	130.8	36	71.6	85	21.9	525.1	Atlantic	123.4	11.4
0136	Infected	B_cells	146.800579071359	163.511759786636	152.188160316847	168.16247440318	179.306289729408	178.434178379775	136.2	54	52.1	68.6	27	442	Arctic	129.5	12
0137	Healthy	NK_cells	79.5445842970035	62.8575970736546	119.534022120349	68.7711150194287	93.2055030468582	77.4128332555962	118.2	27	88.9	90.9	58.8	517.7	Pacific	124.9	22.4
0138	Healthy	B_cells	70.0658276252375	54.6190664869537	111.920882884451	67.3180674000551	88.1633919558817	75.2372453364441	118.8	13	93.3	70.9	22	559.1	Arctic	148.6	20.6
0139	Recovering	Dendritic_cells	107.314278698841	120.179759989688	105.868719901637	119.284044130373	145.332535047871	102.067630826223	113.2	16	76	90.5	26.4	467.2	Southern	126.9	17.1
0140	Healthy	Macrophages	78.9977183794085	45.7997493359463	107.995822615936	77.805607466233	104.268076896788	78.6239553929161	124.2	34	84.3	62.7	21.7	491.4	Pacific	123.8	22
0141	Recovering	Monocytes	87.3800787985237	93.2739967247929	94.1407766867866	84.602753162734	111.260733805037	93.250351658834	94.7	15	75.3	77.6	33.3	570.1	Pacific	133	15.6
0142	Healthy	Dendritic_cells	83.0709741932242	72.622426713266	114.866284213532	86.34085740111	112.90764330493	97.1672645184759	122.4	40	83.4	53.5	32.3	466.2	Indian	121.2	23.2
0143	Stressed	Monocytes	77.1550965975857	96.4118813652524	74.8202254867244	91.3906885492325	107.353826899411	96.4073155038453	94.4	26	68.2	69.4	25.8	485	Arctic	135.5	8.9
0144	Healthy	Dendritic_cells	83.9524401067664	63.8849559747385	99.999805551192	95.7451808645369	95.0231213960328	99.8487348694765	125.9	15	93.2	69.6	28.3	445.6	Arctic	134.6	22.1
0145	Infected	T_cells	139.87892220467	187.264693178554	158.939286329864	173.72003772835	182.421362810132	195.124861316765	137	29	70.9	90	19.3	453.2	Indian	117.1	11.3
0146	Recovering	B_cells	94.1809812863712	111.882381069878	105.367204084502	100.538505716179	109.202173224535	87.7728308941232	102.6	59	53.4	72.3	30.7	434.8	Arctic	129.3	14.5
0147	Recovering	Macrophages	78.1627285956638	97.3944558323531	105.843665440298	106.95822812322	113.240801301964	90.8955189850042	97.2	14	70.4	74.4	28.5	524.3	Atlantic	119.9	16
0148	Recovering	B_cells	96.7438557849743	103.776410161663	115.838689375108	97.1095242690199	109.322120880349	95.9168174465345	95.7	50	60.4	72	27.2	444.9	Southern	131.2	15.4
0149	Healthy	B_cells	57.3932113204904	62.0486818886335	103.208920531071	59.1460678092777	88.0843994731419	76.913747750731	123	49	79	65.3	27.9	545.1	Arctic	156.2	22.2
0150	Stressed	B_cells	82.0120556718572	95.5780751292435	102.451662789795	103.607025063005	111.442188472783	92.374195679306	110.5	39	62.1	73.6	31	481.5	Atlantic	112.2	10
0151	Infected	NK_cells	164.057361179021	190.587745179358	169.012570338217	162.127995883744	187.903720535291	188.71958913823	136.3	55	50.8	84.3	103.2	492.3	Arctic	148.2	10.6
