ID	environment	organism_type	body_size_cm	depth_m	reproduction_rate	coloration	reproduction_type
54	Deep_ice_caves	Ice_worm	5.14	87.4	3.82	White	Asexual
55	Deep_ice_caves	Ice_worm	4.9	109.4	4.49	White	Asexual
56	Subglacial_ocean	Thermophilic_crustacean	10.35	195.6	2.24	Red	Asexual
57	Subglacial_ocean	Bioluminescent_fish	15.58	213.9	2.24	Blue	Sexual
58	Black_smokers	Tubeworm	28.81	281.3	0	Red	Asexual
59	Subglacial_ocean	Bioluminescent_fish	15.21	195	1.27	Blue	Asexual
60	Black_smokers	Tubeworm	30.6	291.6	0	Red	Asexual
61	Deep_ice_caves	Cryo_insect	1.67	94.1	5.25	Transparent	Asexual
62	Deep_ice_caves	Cryo_insect	2.34	102.7	4.39	Transparent	Sexual
63	Subglacial_ocean	Bioluminescent_fish	14.75	193.5	1.84	Blue	Sexual
64	Black_smokers	Tubeworm	31.16	291.7	0	Red	Asexual
65	Black_smokers	Chemosynthetic_bacteria	0	296.1	5.6	Green	Sexual
66	Subglacial_ocean	Thermophilic_crustacean	9.51	214.2	2.14	Red	Sexual
67	Black_smokers	Chemosynthetic_bacteria	0.46	300.8	4.35	Green	Sexual
68	Subglacial_ocean	Thermophilic_crustacean	10.3	193.4	3.26	Red	Asexual
69	Black_smokers	Tubeworm	29.12	313.7	0.3	Red	Asexual
70	Subglacial_ocean	Bioluminescent_fish	14.77	205.5	1.8	Blue	Asexual
71	Subglacial_ocean	Thermophilic_crustacean	10.28	186.9	3.56	Red	Sexual
72	Deep_ice_caves	Cryo_insect	2.54	90.6	4.43	Transparent	Asexual
73	Subglacial_ocean	Bioluminescent_fish	15	219.6	1.64	Blue	Asexual
74	Deep_ice_caves	Ice_worm	5.31	109	3.9	White	Asexual
75	Subglacial_ocean	Thermophilic_crustacean	9.84	189	2.7	Red	Sexual
